dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,BasicNN,2.9818706416385776,4.248525641194148,0.006499052047729492,5,5.0,0.0
iris,RandomNN,2.0738307933603113,2.0729190506879815,0.0025005340576171875,5,5.0,0.0
iris,AnnealedNN,3.3293926622252976,9.995254152171828,0.0995018482208252,5,5.0,0.0
iris,StrategyNN,2.2356492762943256,2.228009761283434,22.89050054550171,5,5.0,0.0
iris,GeneticNN,1.574526488947634,1.572639163339656,37.32200026512146,5,5.0,0.0
iris,BasicNN,2.596160842243467,3.345333319791519,0.005499601364135742,5,5.0,1.0
iris,RandomNN,2.0263680114742506,2.0221854935048476,0.0029993057250976562,5,5.0,1.0
iris,AnnealedNN,2.3449172895177925,4.48674086068862,0.3810005187988281,5,5.0,1.0
iris,StrategyNN,2.153398959696503,2.272154695721011,20.700000762939453,5,5.0,1.0
iris,GeneticNN,1.70210623377462,1.6512813849662613,32.465001344680786,5,5.0,1.0
iris,BasicNN,3.545510366651254,4.531454940713245,0.0,5,5.0,2.0
iris,RandomNN,2.1818644989872475,2.1928549042371848,0.003000497817993164,5,5.0,2.0
iris,AnnealedNN,4.327084894218497,4.699409339274569,0.10600090026855469,5,5.0,2.0
iris,StrategyNN,1.985449312997791,1.9044338704649852,22.733498096466064,5,5.0,2.0
iris,GeneticNN,1.7628507680669163,1.8396241376438889,35.73600459098816,5,5.0,2.0
iris,BasicNN,2.833039130807159,7.402711601034854,0.003500223159790039,5,5.0,3.0
iris,RandomNN,2.482813479769218,2.383134684369475,0.0030007362365722656,5,5.0,3.0
iris,AnnealedNN,2.852894184310749,7.1033562892832975,0.3099944591522217,5,5.0,3.0
iris,StrategyNN,2.103366742432612,2.066910477163664,23.628000736236572,5,5.0,3.0
iris,GeneticNN,1.6908438093742484,1.7281810761268876,36.425997495651245,5,5.0,3.0
iris,BasicNN,2.3087818928936774,3.3536950126770546,0.0034983158111572266,5,5.0,4.0
iris,RandomNN,2.8180703061591768,2.666926976155975,0.0029997825622558594,5,5.0,4.0
iris,AnnealedNN,2.28851203490161,2.328912051013125,0.0989987850189209,5,5.0,4.0
iris,StrategyNN,2.2178192388969773,2.2478085794799325,21.197014093399048,5,5.0,4.0
iris,GeneticNN,1.657675718827633,1.6345916017884516,33.451998710632324,5,5.0,4.0
wine,BasicNN,3.078499136849341,11.488741105205213,0.0030012130737304688,5,5.0,0.0
wine,RandomNN,2.276739349993344,2.11530271928538,0.0025000572204589844,5,5.0,0.0
wine,AnnealedNN,3.7915944830074175,4.103136356137442,0.17300057411193848,5,5.0,0.0
wine,StrategyNN,2.2050795731991837,2.181940515020083,27.65000033378601,5,5.0,0.0
wine,GeneticNN,1.8948843590358695,1.8951976556838783,43.85949897766113,5,5.0,0.0
wine,BasicNN,3.4637530220425408,3.5121887772158247,0.0060024261474609375,5,5.0,1.0
wine,RandomNN,2.1864029781866865,2.2853378009141214,0.0029959678649902344,5,5.0,1.0
wine,AnnealedNN,3.0614001666682347,3.1989227443167536,0.8694977760314941,5,5.0,1.0
wine,StrategyNN,1.8863557380898552,1.9399013233836992,27.439498901367188,5,5.0,1.0
wine,GeneticNN,1.8661375257828292,1.87822309782574,38.79799818992615,5,5.0,1.0
wine,BasicNN,3.737865608361895,9.086727943436772,0.0034983158111572266,5,5.0,2.0
wine,RandomNN,1.9826569389773352,1.970867778544599,0.012499809265136719,5,5.0,2.0
wine,AnnealedNN,3.5646155179877614,4.561317441354993,0.2324995994567871,5,5.0,2.0
wine,StrategyNN,2.0517568702632123,2.0643983623503255,28.64599895477295,5,5.0,2.0
wine,GeneticNN,1.8716504338170488,1.954491054500913,45.03949952125549,5,5.0,2.0
wine,BasicNN,2.2399912585799857,2.3949647801113425,0.005999565124511719,5,5.0,3.0
wine,RandomNN,2.026115997587731,1.95006321035569,0.002498626708984375,5,5.0,3.0
wine,AnnealedNN,3.3836920248946507,2.632919481981227,0.20150017738342285,5,5.0,3.0
