dataset,seed,epoch,fitness
iris,3,0.0,3.49511449578342
iris,3,1.0,2.2063770427925324
iris,3,2.0,2.242847247835529
iris,3,3.0,2.012156778438227
iris,3,4.0,2.001736857132779
iris,3,5.0,1.9519875554494885
iris,3,6.0,1.9278562416819545
iris,3,7.0,1.931863124577139
iris,3,8.0,1.9285927637072997
iris,3,9.0,1.9076901242016981
iris,3,0.0,3.2151927391048947
iris,3,1.0,2.1773448279661265
iris,3,2.0,2.174400512703153
iris,3,3.0,1.9915247767243467
iris,3,4.0,1.982464553485031
iris,3,5.0,1.9256774421566742
iris,3,6.0,1.910585931790248
iris,3,7.0,1.9159136586835435
iris,3,8.0,1.8956509312839167
iris,3,9.0,1.8762288140988748
iris,3,0.0,1.9300423381091334
iris,3,1.0,1.9763191769856958
iris,3,2.0,1.9291820873694723
iris,3,3.0,1.9532468913489407
iris,3,4.0,1.9515421714637282
iris,3,5.0,1.951066154539794
iris,3,6.0,1.9559758399336553
iris,3,7.0,1.9540395160729336
iris,3,8.0,1.960058256021941
iris,3,9.0,1.9493506510662055
iris,3,0.0,2.2946128984945773
iris,3,1.0,2.1072216936369053
iris,3,2.0,2.1395465584424755
iris,3,3.0,2.070826681263989
iris,3,4.0,2.0431691550407103
iris,3,5.0,1.9880462307196438
iris,3,6.0,1.9587926060574115
iris,3,7.0,1.941850930924793
iris,3,8.0,1.9326797774649334
iris,3,9.0,1.932937709941456
iris,3,0.0,2.7215615957269987
iris,3,1.0,2.1316913341440897
iris,3,2.0,2.185891741707975
iris,3,3.0,2.03638393193335
iris,3,4.0,1.9919943597073502
iris,3,5.0,1.9626096275299123
iris,3,6.0,1.9392462470641247
iris,3,7.0,1.929348610347421
iris,3,8.0,1.9240890866917935
iris,3,9.0,1.9190324227294997
wine,3,0.0,3.465712503595632
wine,3,1.0,1.9566222287700614
wine,3,2.0,2.3064461482607603
wine,3,3.0,2.0098117245511364
wine,3,4.0,1.858767699524279
wine,3,5.0,1.8574058233514743
