dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,AnnealedNN,2.811747478136523,3.6027685196677868,0.022995948791503903,5,5.0,0.0
iris,AnnealedNN,2.1161566546512622,2.232834033555036,0.02199578285217285,5,5.0,1.0
iris,AnnealedNN,2.7892581856188565,5.3936407527165615,0.021004676818847656,5,5.0,2.0
iris,AnnealedNN,2.270244434900534,2.2173120833748725,0.01900029182434082,5,5.0,3.0
iris,AnnealedNN,3.2856836391539463,3.464709656320472,0.01998472213745117,5,5.0,4.0
wine,AnnealedNN,2.6940693521025163,3.422261368845433,0.01900172233581543,5,5.0,0.0
wine,AnnealedNN,2.802492835868046,5.444141823962284,0.02000141143798828,5,5.0,1.0
wine,AnnealedNN,11.45029117795626,10.561407615131069,0.021002531051635742,5,5.0,2.0
wine,AnnealedNN,2.402089192392133,2.478984409339712,0.026009082794189453,5,5.0,3.0
wine,AnnealedNN,7.864461194763378,7.8425645903577985,0.02700138092041016,5,5.0,4.0
breast_cancer,AnnealedNN,3.1706647986244483,3.668268603339985,0.02500009536743164,5,5.0,0.0
breast_cancer,AnnealedNN,1.5056910467619056,1.5989038478478197,0.03100132942199707,5,5.0,1.0
breast_cancer,AnnealedNN,1.2578940658390676,1.2557513145515962,0.03300261497497558,5,5.0,2.0
breast_cancer,AnnealedNN,1.8558906329797067,1.8005786608881125,0.029000043869018555,5,5.0,3.0
breast_cancer,AnnealedNN,1.438973381601417,5.275565623087458,0.02700066566467285,5,5.0,4.0
heart,AnnealedNN,5.207285101450622,7.689876709606942,0.03399991989135742,5,5.0,0.0
heart,AnnealedNN,3.3287480265094502,3.3545821719346787,0.03099822998046875,5,5.0,1.0
heart,AnnealedNN,7.6017984995901156,13.490859863574796,0.024003267288208008,5,5.0,2.0
heart,AnnealedNN,6.727296090466597,7.293656239645118,0.021997690200805664,5,5.0,3.0
heart,AnnealedNN,4.73798961621311,17.859304971511182,0.023998022079467773,5,5.0,4.0
iris,AnnealedNN,3.0107660598338897,2.4666743106601605,0.021012306213378903,5,5.0,0.0
iris,AnnealedNN,2.0307132755645405,2.3182090857882693,0.02001333236694336,5,5.0,1.0
iris,AnnealedNN,3.0650195745136135,3.3365533017511457,0.02700138092041016,5,5.0,2.0
iris,AnnealedNN,2.780664469607244,4.8963552635954235,0.019999265670776367,5,5.0,3.0
iris,AnnealedNN,3.282801940672156,4.891291586682429,0.02100992202758789,5,5.0,4.0
wine,AnnealedNN,6.725351457252924,6.917560887728115,0.020999908447265625,5,5.0,0.0
wine,AnnealedNN,3.9968194892242384,4.987741205362268,0.018998146057128903,5,5.0,1.0
wine,AnnealedNN,2.4568687908268267,2.5188907248126564,0.02099752426147461,5,5.0,2.0
wine,AnnealedNN,3.871867344425404,3.920447019270135,0.02199792861938477,5,5.0,3.0
wine,AnnealedNN,2.2166029652727763,5.185244612167738,0.02099895477294922,5,5.0,4.0
breast_cancer,AnnealedNN,6.407974455180192,6.451949784427133,0.02699875831604004,5,5.0,0.0
breast_cancer,AnnealedNN,3.880432422073121,5.722714356771798,0.023000717163085938,5,5.0,1.0
breast_cancer,AnnealedNN,2.6309398096157546,10.695070818888631,0.021992206573486328,5,5.0,2.0
breast_cancer,AnnealedNN,1.5052685307369544,6.234045727690562,0.02299976348876953,5,5.0,3.0
breast_cancer,AnnealedNN,1.952578995485302,2.9063368052446656,0.02299785614013672,5,5.0,4.0
heart,AnnealedNN,3.5242583779338443,4.252533832907886,0.022013187408447262,5,5.0,0.0
heart,AnnealedNN,5.07787781564223,5.259890446043394,0.02199935913085937,5,5.0,1.0
heart,AnnealedNN,6.476032443638604,6.947756090963119,0.02796649932861328,5,5.0,2.0
heart,AnnealedNN,11.442645680784578,11.076496468581666,0.020996570587158203,5,5.0,3.0
heart,AnnealedNN,11.677263493750528,11.377304552693536,0.02100062370300293,5,5.0,4.0
iris,AnnealedNN,2.1348570786706698,2.2367374768969084,0.01899957656860352,5,5.0,0.0
iris,AnnealedNN,1.6783515451773101,7.888650864902919,0.020986557006835938,5,5.0,1.0
iris,AnnealedNN,3.3716549333412833,4.1463312472150085,0.02101302146911621,5,5.0,2.0
iris,AnnealedNN,2.6269943000851077,10.517775700361463,0.01999068260192871,5,5.0,3.0
iris,AnnealedNN,3.440402326378791,5.1671152758143775,0.01999950408935547,5,5.0,4.0
wine,AnnealedNN,2.3768685555539237,3.852971343368511,0.021001100540161133,5,5.0,0.0
wine,AnnealedNN,2.1803474515772976,2.207867806910309,0.020000457763671875,5,5.0,1.0
wine,AnnealedNN,2.366580997835063,5.991826145876899,0.020999431610107425,5,5.0,2.0
wine,AnnealedNN,2.4646770561641307,10.452937725506834,0.020002365112304688,5,5.0,3.0
wine,AnnealedNN,2.9794410241757747,2.704062645374514,0.01999068260192871,5,5.0,4.0
breast_cancer,AnnealedNN,2.7116036568823016,2.6909777629831195,0.02399873733520508,5,5.0,0.0
breast_cancer,AnnealedNN,1.247778494918046,1.594926511277715,0.02100825309753418,5,5.0,1.0
breast_cancer,AnnealedNN,2.666114863797062,3.4463430760349247,0.02399611473083496,5,5.0,2.0
breast_cancer,AnnealedNN,4.964025634389687,5.290926789291097,0.027001619338989258,5,5.0,3.0
breast_cancer,AnnealedNN,1.6066707490504737,1.5016662970251275,0.021990060806274414,5,5.0,4.0
heart,AnnealedNN,4.264061610389288,3.9081719835660302,0.02100396156311035,5,5.0,0.0
heart,AnnealedNN,3.986471960730092,4.393749400717629,0.023000717163085938,5,5.0,1.0
heart,AnnealedNN,16.90848823372121,16.454766445838924,0.02200031280517578,5,5.0,2.0
heart,AnnealedNN,4.157867491424746,4.1089362376126815,0.02300119400024414,5,5.0,3.0
heart,AnnealedNN,5.840525188422758,7.3385357115891665,0.02300357818603516,5,5.0,4.0
iris,AnnealedNN,4.3613823783399175,4.892369280284248,0.02000665664672852,5,5.0,0.0
iris,AnnealedNN,2.3964227493582517,2.2613801195780305,0.02099299430847168,5,5.0,1.0
iris,AnnealedNN,5.025375020378236,5.403007116030015,0.020000219345092773,5,5.0,2.0
iris,AnnealedNN,6.785732255273813,7.061383798115322,0.02199721336364746,5,5.0,3.0
iris,AnnealedNN,2.2924426171866474,2.884698884187599,0.019001483917236328,5,5.0,4.0
