dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,BasicNN,4.663543502289522,2.152137140422746,0.004999876022338867,5,5.0,0.0
iris,BasicNN,3.3605469808721167,7.693441400670394,0.0,5,5.0,1.0
iris,BasicNN,2.982319812066992,7.074202803202871,0.005001544952392578,5,5.0,2.0
iris,BasicNN,4.470380066738327,11.886736574629982,0.0030002593994140625,5,5.0,3.0
iris,BasicNN,2.71093795161366,5.2688915350373735,0.0,5,5.0,4.0
wine,BasicNN,2.0068143012821604,2.318041032457848,0.005001306533813477,5,5.0,0.0
wine,BasicNN,2.0978866419602262,3.7242043945325016,0.0020139217376708984,5,5.0,1.0
wine,BasicNN,2.360020501791019,9.864940545019724,0.003000020980834961,5,5.0,2.0
wine,BasicNN,3.7686881530949736,9.780915670381338,0.007002353668212891,5,5.0,3.0
wine,BasicNN,2.3820052540177232,3.9621120491025685,0.004000663757324219,5,5.0,4.0
breast_cancer,BasicNN,2.3328340126977336,22.614896731606013,0.007005453109741211,5,5.0,0.0
breast_cancer,BasicNN,2.0372824221090613,16.27923627155927,0.00999736785888672,5,5.0,1.0
breast_cancer,BasicNN,2.0451272629060924,9.48091276329691,0.013001680374145508,5,5.0,2.0
breast_cancer,BasicNN,1.264911725531466,8.034902765894062,0.01000070571899414,5,5.0,3.0
breast_cancer,BasicNN,2.069692229920912,20.64139658054285,0.006999969482421875,5,5.0,4.0
heart,BasicNN,6.3064099051146885,6.582018318370127,0.011999845504760742,5,5.0,0.0
heart,BasicNN,5.755911691222592,17.40666972191197,0.009999990463256836,5,5.0,1.0
heart,BasicNN,5.066950175860361,5.6442613276010345,0.009000301361083984,5,5.0,2.0
heart,BasicNN,2.388510869789575,4.424138029827223,0.007000923156738281,5,5.0,3.0
heart,BasicNN,6.056934688702548,7.118667831736183,0.007997751235961914,5,5.0,4.0
iris,BasicNN,2.579306491893993,3.632709997117504,0.0030133724212646484,5,5.0,0.0
iris,BasicNN,2.03419417899688,2.5123175731960408,0.0029997825622558594,5,5.0,1.0
iris,BasicNN,2.4495015930993844,7.341755563285132,0.002999544143676758,5,5.0,2.0
iris,BasicNN,4.118771166241978,3.43773368899858,0.0009984970092773438,5,5.0,3.0
