dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,GeneticNN,1.6473481411472124,1.6422085461762252,37.166001558303826,5,5.0,0.0
iris,GeneticNN,1.5082899255558535,1.6199373866025055,40.166993618011475,5,5.0,1.0
iris,GeneticNN,1.6110317892552823,1.6328709869219504,29.063252687454227,5,5.0,2.0
iris,GeneticNN,1.5997918277976295,1.5863582708254658,34.41489887237549,5,5.0,3.0
iris,GeneticNN,1.6126698523862226,1.6173538444724151,36.82632613182068,5,5.0,4.0
wine,GeneticNN,1.8864078727875728,1.8791994350000572,45.175456285476685,5,5.0,0.0
wine,GeneticNN,1.7827691643332433,1.7530231587179368,37.68120336532593,5,5.0,1.0
wine,GeneticNN,1.688486507279583,1.7682797436308786,46.37155842781067,5,5.0,2.0
wine,GeneticNN,1.8923285389542368,1.8793867455886664,52.6341290473938,5,5.0,3.0
wine,GeneticNN,1.8722657064581347,1.8639587255314825,61.15658044815064,5,5.0,4.0
breast_cancer,GeneticNN,1.0927102660738042,1.255251248137492,5.626357555389403,5,5.0,0.0
breast_cancer,GeneticNN,1.1850087287298836,1.1137795291934114,5.5688607692718515,5,5.0,1.0
breast_cancer,GeneticNN,0.9142289170587766,0.8309648423532487,6.96691370010376,5,5.0,2.0
breast_cancer,GeneticNN,0.8723862193897352,0.9644271350798782,5.599309206008911,5,5.0,3.0
breast_cancer,GeneticNN,1.0409998955733497,1.016916657642609,6.644937038421631,5,5.0,4.0
heart,GeneticNN,2.244574457716209,2.4138266085658895,6.46641206741333,5,5.0,0.0
heart,GeneticNN,2.549889466386382,2.48939192675617,6.387349605560303,5,5.0,1.0
heart,GeneticNN,2.1564754319005104,1.9292361871179096,6.2803001403808585,5,5.0,2.0
heart,GeneticNN,2.181807193449119,2.607162143087836,6.156498432159424,5,5.0,3.0
heart,GeneticNN,2.3611929448710867,2.2300370376425067,6.3735830783843985,5,5.0,4.0
iris,GeneticNN,1.6394725680478281,1.73894768737607,37.07170939445496,5,5.0,0.0
iris,GeneticNN,1.7131871033910526,2.1028243023476683,36.260592937469475,5,5.0,1.0
iris,GeneticNN,1.7840742527091562,1.9452759584675705,35.59161615371704,5,5.0,2.0
iris,GeneticNN,1.6862248374050144,1.8051763869115631,37.155838966369636,5,5.0,3.0
iris,GeneticNN,1.6258244448697876,1.5301071456429267,35.37865114212036,5,5.0,4.0
wine,GeneticNN,1.8952983834192283,1.9200621712827763,38.97597885131836,5,5.0,0.0
wine,GeneticNN,1.834020919559309,1.8217106939448462,44.937113761901855,5,5.0,1.0
wine,GeneticNN,1.7843013428341037,1.6925983425852806,44.72826099395752,5,5.0,2.0
wine,GeneticNN,1.712001287452999,1.7199083476345398,45.833895921707146,5,5.0,3.0
wine,GeneticNN,1.848112748512984,2.2043072585237677,42.94681572914124,5,5.0,4.0
breast_cancer,GeneticNN,1.1760090633633071,1.197003609019703,5.394970893859863,5,5.0,0.0
breast_cancer,GeneticNN,1.1809207396488832,1.0903355174865121,4.848221063613892,5,5.0,1.0
breast_cancer,GeneticNN,1.0435198950476279,1.1494681886392957,5.205200433731079,5,5.0,2.0
breast_cancer,GeneticNN,1.1021708092111977,1.1685818232725087,4.90475606918335,5,5.0,3.0
breast_cancer,GeneticNN,1.1600279650338334,1.1972636777624943,5.223146200180054,5,5.0,4.0
heart,GeneticNN,2.279552258049142,2.058733221557388,6.967733860015869,5,5.0,0.0
heart,GeneticNN,2.142100280644274,2.3146595261707983,5.331465721130371,5,5.0,1.0
heart,GeneticNN,2.256125014117745,2.0802215232101173,5.8118131160736075,5,5.0,2.0
heart,GeneticNN,2.170186302943005,2.3532746716277435,5.917584896087647,5,5.0,3.0
heart,GeneticNN,2.136789647169417,2.2687385837515834,5.951896905899048,5,5.0,4.0
iris,GeneticNN,1.680739329429894,1.6998272624051356,30.28139996528625,5,5.0,0.0
iris,GeneticNN,1.7596195957757332,1.76706455878183,32.66912007331848,5,5.0,1.0
iris,GeneticNN,1.8125245833723658,1.7979383006368044,37.02549600601196,5,5.0,2.0
iris,GeneticNN,1.8074182455487355,1.7721848263324065,32.451027870178216,5,5.0,3.0
iris,GeneticNN,1.524214087866354,1.6080957832133915,30.97617197036743,5,5.0,4.0
wine,GeneticNN,1.7998771307127237,1.812406362893613,44.702338218688965,5,5.0,0.0
