dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,RandomNN,2.311093557184023,2.3108198630709142,0.008997440338134766,5,5.0,0.0
iris,RandomNN,1.882583959821574,1.9098953882363652,0.005998849868774414,5,5.0,1.0
iris,RandomNN,2.2468082991963003,2.435355772127955,0.004011154174804688,5,5.0,2.0
iris,RandomNN,2.062405304015196,2.126412624286049,0.006998300552368164,5,5.0,3.0
iris,RandomNN,2.2367914269340488,2.2881894199827166,0.002989530563354492,5,5.0,4.0
wine,RandomNN,2.0569306270612446,1.9808519826138804,0.007999420166015625,5,5.0,0.0
wine,RandomNN,2.025434089258803,1.9517707179017567,0.006999015808105469,5,5.0,1.0
wine,RandomNN,2.172914479318292,2.0879489461294725,0.007000207901000977,5,5.0,2.0
wine,RandomNN,2.0892706932074585,2.0068083287378227,0.00900125503540039,5,5.0,3.0
wine,RandomNN,1.8862543923995467,2.1000308036499846,0.006995201110839844,5,5.0,4.0
breast_cancer,RandomNN,1.6897799579046895,1.6788623508426053,0.019994258880615238,5,5.0,0.0
breast_cancer,RandomNN,1.3555954050292571,1.2710160937037225,0.013997077941894531,5,5.0,1.0
breast_cancer,RandomNN,1.367611645702588,1.3086364942622364,0.018999099731445312,5,5.0,2.0
breast_cancer,RandomNN,1.5480937143196989,1.533065586241937,0.012000322341918944,5,5.0,3.0
breast_cancer,RandomNN,1.5376110156088585,1.497242971553037,0.01099848747253418,5,5.0,4.0
heart,RandomNN,2.9022160019319014,2.8899906628221697,0.02000141143798828,5,5.0,0.0
heart,RandomNN,2.8262005842705404,2.707512372933865,0.010998249053955078,5,5.0,1.0
heart,RandomNN,2.6320316599419398,2.5963326366631545,0.010000228881835938,5,5.0,2.0
heart,RandomNN,2.8756214935702573,3.1389403883416325,0.010999441146850586,5,5.0,3.0
heart,RandomNN,3.256016652600332,3.3700487919345434,0.008999347686767578,5,5.0,4.0
iris,RandomNN,2.09583323939998,2.148489573774504,0.006999015808105469,5,5.0,0.0
iris,RandomNN,2.501111289361209,2.3236087140948087,0.004999637603759766,5,5.0,1.0
iris,RandomNN,1.9931783475353892,1.9675746136091998,0.005999326705932617,5,5.0,2.0
iris,RandomNN,2.0094314456598723,2.1543615037330066,0.003000020980834961,5,5.0,3.0
iris,RandomNN,2.11072689012536,2.007136000077653,0.01099848747253418,5,5.0,4.0
wine,RandomNN,2.1659891114208345,2.0347731461667338,0.005998849868774414,5,5.0,0.0
wine,RandomNN,2.2234786607648265,1.9802564119558677,0.008998632431030273,5,5.0,1.0
wine,RandomNN,2.1113581736009754,2.0215642881247247,0.006999969482421875,5,5.0,2.0
wine,RandomNN,2.03835072864353,2.058630581346529,0.005002260208129883,5,5.0,3.0
wine,RandomNN,2.157841812219297,2.698659141030588,0.006000041961669922,5,5.0,4.0
breast_cancer,RandomNN,1.48736124049802,1.5057227170656282,0.012990474700927734,5,5.0,0.0
breast_cancer,RandomNN,1.5314356816238526,1.4484112980837698,0.008000373840332031,5,5.0,1.0
breast_cancer,RandomNN,1.5794130374425208,1.5550801627306214,0.008004903793334961,5,5.0,2.0
breast_cancer,RandomNN,1.318516814376716,1.2882154026154693,0.015013933181762697,5,5.0,3.0
breast_cancer,RandomNN,1.43314487111862,1.373568744098955,0.01000046730041504,5,5.0,4.0
heart,RandomNN,3.038757653126734,2.972417788542716,0.011013031005859377,5,5.0,0.0
heart,RandomNN,2.7314003580498065,2.8040985282365827,0.01198577880859375,5,5.0,1.0
heart,RandomNN,3.402021116380048,3.4237009471484146,0.01554107666015625,5,5.0,2.0
heart,RandomNN,4.551229682310353,4.492701844646564,0.008998394012451172,5,5.0,3.0
heart,RandomNN,3.919969017548908,3.7109002039425034,0.0110015869140625,5,5.0,4.0
iris,RandomNN,2.0723384976429977,2.101606308133808,0.003001213073730469,5,5.0,0.0
iris,RandomNN,1.878651474144387,1.8219887337490328,0.006987810134887695,5,5.0,1.0
iris,RandomNN,1.943189412497475,1.9232186192180236,0.006000757217407226,5,5.0,2.0
iris,RandomNN,2.072843230972114,2.0111233536982533,0.004987478256225586,5,5.0,3.0
iris,RandomNN,2.0367906998233014,1.9583657262729437,0.005000114440917969,5,5.0,4.0
wine,RandomNN,2.806821458804615,2.871051874624976,0.005999326705932617,5,5.0,0.0
wine,RandomNN,2.106931490675678,2.2083197202735136,0.005002498626708984,5,5.0,1.0
wine,RandomNN,2.215035299010982,2.0734925671011366,0.004998445510864258,5,5.0,2.0
wine,RandomNN,2.105089947162868,2.0447261566535433,0.007004022598266602,5,5.0,3.0
wine,RandomNN,2.180784517552406,2.1949609285312612,0.005990266799926758,5,5.0,4.0
breast_cancer,RandomNN,1.481676855010815,1.5039044634112595,0.015002489089965819,5,5.0,0.0
breast_cancer,RandomNN,1.425319411334531,1.5996046878166814,0.006994247436523438,5,5.0,1.0
breast_cancer,RandomNN,1.5023463250736713,1.4559004052687723,0.010995149612426758,5,5.0,2.0
breast_cancer,RandomNN,1.4780097590934111,1.448243094187184,0.014996767044067385,5,5.0,3.0
breast_cancer,RandomNN,1.5648251578571477,1.4912562249821673,0.013003110885620115,5,5.0,4.0
heart,RandomNN,2.982962454388481,3.0434920938161856,0.011000633239746094,5,5.0,0.0
heart,RandomNN,3.4898818834317265,4.281842444257893,0.008999347686767578,5,5.0,1.0
heart,RandomNN,3.6504365325858936,3.6911389794539584,0.013999462127685549,5,5.0,2.0
heart,RandomNN,2.7921204096946663,2.743772712190649,0.009000301361083984,5,5.0,3.0
heart,RandomNN,3.526259045359193,3.4921221565143847,0.006999969482421875,5,5.0,4.0
iris,RandomNN,1.9286228149114464,2.068591220362019,0.010001182556152344,5,5.0,0.0
iris,RandomNN,2.313707586111017,2.3056887070788443,0.00499272346496582,5,5.0,1.0
iris,RandomNN,1.7176557748389483,1.794499335127102,0.006999492645263672,5,5.0,2.0
iris,RandomNN,2.2923448812426903,2.3959797436277697,0.006995916366577149,5,5.0,3.0
iris,RandomNN,1.853647172389727,1.633724296836113,0.004987001419067383,5,5.0,4.0
wine,RandomNN,1.98155779703812,2.0160202572645387,0.004996061325073242,5,5.0,0.0
wine,RandomNN,2.0944338366793893,1.995290092953444,0.007001161575317383,5,5.0,1.0
wine,RandomNN,2.07761542197828,2.081262588299207,0.00400090217590332,5,5.0,2.0
wine,RandomNN,2.347199941954918,2.3527627761155343,0.006998777389526367,5,5.0,3.0
wine,RandomNN,2.237858124532092,2.3561880156935278,0.006999731063842773,5,5.0,4.0
breast_cancer,RandomNN,1.3126941034077504,1.3405872357788655,0.0149993896484375,5,5.0,0.0
breast_cancer,RandomNN,1.3746993669535876,1.3775706134034882,0.009000778198242188,5,5.0,1.0
breast_cancer,RandomNN,1.3680853867356138,1.4140185169843047,0.007999420166015625,5,5.0,2.0
breast_cancer,RandomNN,1.7812767125414204,1.632838103381934,0.017002105712890625,5,5.0,3.0
breast_cancer,RandomNN,2.1208817060755627,2.00799584863811,0.010987997055053713,5,5.0,4.0
heart,RandomNN,3.816812448026072,4.082756322586482,0.00899815559387207,5,5.0,0.0
heart,RandomNN,3.1793642626733707,2.886466017174357,0.009001970291137695,5,5.0,1.0
heart,RandomNN,3.154791025321632,2.9829009077663065,0.008998870849609375,5,5.0,2.0
heart,RandomNN,3.0103969063064517,3.057765582062116,0.008998394012451172,5,5.0,3.0
heart,RandomNN,2.6463607518117747,2.818582622712466,0.008056163787841797,5,5.0,4.0
iris,RandomNN,1.9721480732536452,2.1296517567863957,0.005002498626708984,5,5.0,0.0
iris,RandomNN,1.8699887921629297,1.9630263321602504,0.004998683929443359,5,5.0,1.0
iris,RandomNN,2.297815194304241,2.1230163669372386,0.007001399993896484,5,5.0,2.0
iris,RandomNN,2.141240288647759,2.1245099098080047,0.005000114440917969,5,5.0,3.0
iris,RandomNN,2.5670680044905185,2.6622665037374884,0.00700068473815918,5,5.0,4.0
wine,RandomNN,2.1907862531323983,2.0888279640836496,0.006001710891723633,5,5.0,0.0
wine,RandomNN,2.124630868676061,2.056274226310506,0.004984855651855469,5,5.0,1.0
wine,RandomNN,2.046859519322465,2.176738362086956,0.004997491836547852,5,5.0,2.0
wine,RandomNN,2.519390864204288,2.5551318564152408,0.005000829696655274,5,5.0,3.0
wine,RandomNN,2.2743521718372635,2.685800632957991,0.005001068115234375,5,5.0,4.0
breast_cancer,RandomNN,1.7221895985337128,1.672715182999266,0.01500058174133301,5,5.0,0.0
breast_cancer,RandomNN,1.5542473940958308,1.5726610279699669,0.007000446319580078,5,5.0,1.0
breast_cancer,RandomNN,1.2128847021065177,1.2830729301697772,0.014986038208007812,5,5.0,2.0
breast_cancer,RandomNN,1.3871594005707182,1.3646192608097674,0.006001710891723633,5,5.0,3.0
breast_cancer,RandomNN,1.3705519269019573,1.2726782704887332,0.010001420974731444,5,5.0,4.0
heart,RandomNN,4.1401845373833766,4.0390714754381545,0.01000356674194336,5,5.0,0.0
heart,RandomNN,3.051338914216394,2.7931662290686208,0.010001659393310549,5,5.0,1.0
heart,RandomNN,2.6226049585142346,2.767308470337696,0.008003473281860352,5,5.0,2.0
heart,RandomNN,2.8496965604995186,2.872910214438622,0.010986804962158205,5,5.0,3.0
heart,RandomNN,2.865923931422829,2.7607700646018385,0.009998083114624023,5,5.0,4.0
iris,RandomNN,1.990148450348976,2.1093417542826227,0.006997823715209961,5,5.0,0.0
iris,RandomNN,1.7830591801647362,1.84004494518648,0.006001710891723633,5,5.0,1.0
iris,RandomNN,2.06084532636462,1.886852499695308,0.009013175964355469,5,5.0,2.0
iris,RandomNN,2.6861736944688253,2.6260744439398565,0.004986763000488281,5,5.0,3.0
iris,RandomNN,2.3611037155555983,2.823139229444773,0.004999876022338867,5,5.0,4.0
wine,RandomNN,2.419433889383766,2.3235973648343835,0.00499725341796875,5,5.0,0.0
wine,RandomNN,2.1322530492143987,2.1692404510295558,0.007011175155639648,5,5.0,1.0
