dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,StrategyNN,1.8747283838755369,1.8732175303998997,23.61124992370605,5,5.0,0.0
iris,StrategyNN,1.8925100931692704,1.953045626178237,23.93502640724182,5,5.0,1.0
iris,StrategyNN,2.447586957605858,2.42747436093599,22.701744318008426,5,5.0,2.0
iris,StrategyNN,1.8378128805222012,1.8479513012371,21.868310928344727,5,5.0,3.0
iris,StrategyNN,2.1128089210872703,2.093178170599266,22.84556531906128,5,5.0,4.0
wine,StrategyNN,1.9074475510124465,1.8658157721940865,27.872090816497803,5,5.0,0.0
wine,StrategyNN,2.0001742360984465,2.0205588508219705,23.74028563499451,5,5.0,1.0
wine,StrategyNN,2.182312316241056,2.3129834270973344,28.47133159637451,5,5.0,2.0
wine,StrategyNN,2.424755525464973,2.310984268123066,29.19800305366516,5,5.0,3.0
wine,StrategyNN,1.970272289024681,2.004534507157363,36.38330674171448,5,5.0,4.0
breast_cancer,StrategyNN,1.5436836032690409,1.5507862724796762,4.721771240234375,5,5.0,0.0
breast_cancer,StrategyNN,1.374704186334841,1.3201549044259948,4.599790573120117,5,5.0,1.0
breast_cancer,StrategyNN,1.3123057561777502,1.28624876773526,4.468827724456787,5,5.0,2.0
breast_cancer,StrategyNN,1.4476877940773116,1.431567817640386,4.781311273574829,5,5.0,3.0
breast_cancer,StrategyNN,1.25893455948503,1.2456564677320447,4.8798253536224365,5,5.0,4.0
heart,StrategyNN,3.693664083592161,3.777626543623705,5.376258850097656,5,5.0,0.0
heart,StrategyNN,3.5194430336155,3.479812622303466,5.385307550430298,5,5.0,1.0
heart,StrategyNN,3.6073355912344383,3.458308665075565,4.2472426891326895,5,5.0,2.0
heart,StrategyNN,2.8807083779038942,3.162363489375657,4.1941421031951895,5,5.0,3.0
heart,StrategyNN,3.1664203491722707,3.0487565847835936,4.3713810443878165,5,5.0,4.0
iris,StrategyNN,2.667573341633018,2.5516590908398107,22.839824676513672,5,5.0,0.0
iris,StrategyNN,1.845287378193296,1.841566199475202,24.72695159912109,5,5.0,1.0
iris,StrategyNN,2.036472765002704,2.5441787211800944,22.37816786766052,5,5.0,2.0
iris,StrategyNN,1.9940400359394648,1.918309490141104,23.29855370521545,5,5.0,3.0
iris,StrategyNN,1.98396609816376,1.9936059216564168,23.04938626289368,5,5.0,4.0
wine,StrategyNN,1.948340093685284,1.890406692120869,26.765639781951904,5,5.0,0.0
wine,StrategyNN,1.9650053940160568,2.102110676595584,28.779576063156128,5,5.0,1.0
wine,StrategyNN,2.189481499475164,2.273461598226123,28.03394436836243,5,5.0,2.0
wine,StrategyNN,1.9850005357753409,1.9820762470941975,28.09561586380005,5,5.0,3.0
wine,StrategyNN,2.470057369921641,2.1728449407914607,28.10475468635559,5,5.0,4.0
breast_cancer,StrategyNN,1.4634880928983718,1.5058261016621393,3.4424057006835938,5,5.0,0.0
breast_cancer,StrategyNN,1.4836633398491692,1.459046285483346,4.03471302986145,5,5.0,1.0
breast_cancer,StrategyNN,1.4065570735381159,1.489410102962226,3.4893479347229004,5,5.0,2.0
breast_cancer,StrategyNN,1.327876064148657,1.3059665665529612,3.3693292140960693,5,5.0,3.0
breast_cancer,StrategyNN,1.2542361147638357,1.2206703968153232,3.4536523818969727,5,5.0,4.0
heart,StrategyNN,3.5450493650561508,3.7474701603717646,4.558034420013428,5,5.0,0.0
heart,StrategyNN,3.1029682448973523,3.026585999812873,4.399868726730347,5,5.0,1.0
heart,StrategyNN,3.2934599984230037,3.1265949075645687,4.040748596191406,5,5.0,2.0
heart,StrategyNN,2.263266569849097,2.3535016017743007,4.910522937774658,5,5.0,3.0
heart,StrategyNN,2.4277343018920594,2.724434691940049,4.079249858856201,5,5.0,4.0
iris,StrategyNN,2.426004587369696,2.214691224219461,20.277556657791138,5,5.0,0.0
iris,StrategyNN,1.931234699340299,1.857509034106811,21.705199480056766,5,5.0,1.0
iris,StrategyNN,2.3387438527598285,2.3561574545295896,23.14568614959717,5,5.0,2.0
iris,StrategyNN,2.1186760725023617,2.069575606197036,21.352298974990845,5,5.0,3.0
iris,StrategyNN,1.8678468887394684,1.9375776123102009,23.535500288009644,5,5.0,4.0
wine,StrategyNN,1.9193945948969005,1.957556125431596,28.34450721740723,5,5.0,0.0
wine,StrategyNN,2.202369986979672,2.274437677633753,23.97490119934082,5,5.0,1.0
wine,StrategyNN,1.8804734657300284,1.8835176383048768,26.5571973323822,5,5.0,2.0
wine,StrategyNN,2.0678144521471387,2.1107414636859168,24.616441011428837,5,5.0,3.0
wine,StrategyNN,1.9923013072177291,1.8608944730937715,28.5137882232666,5,5.0,4.0
breast_cancer,StrategyNN,1.460865501265448,1.43065671177696,3.4712884426116943,5,5.0,0.0
breast_cancer,StrategyNN,1.2261879430701297,1.4240559469152616,3.5445895195007324,5,5.0,1.0
breast_cancer,StrategyNN,1.3359582415482787,1.300885482144367,3.433584928512573,5,5.0,2.0
breast_cancer,StrategyNN,1.2350020572438112,1.1721129758898552,3.5383374691009517,5,5.0,3.0
breast_cancer,StrategyNN,1.5851905457603113,1.60607921240175,3.682715654373169,5,5.0,4.0
heart,StrategyNN,3.20851929636744,3.0678887687801515,4.463699102401733,5,5.0,0.0
heart,StrategyNN,2.60839917421737,2.5708820713902183,4.0403621196746835,5,5.0,1.0
heart,StrategyNN,2.726985425101246,2.722219845918563,4.168992519378662,5,5.0,2.0
heart,StrategyNN,4.217153692047512,4.264124425270992,4.050339937210083,5,5.0,3.0
