dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,BasicNN,3.0100468348615106,7.325556898634019,0.008996725082397461,5,5.0,0.0
iris,RandomNN,2.423442987852362,2.406567780467344,0.004996776580810547,5,5.0,0.0
iris,AnnealedNN,3.868173701542754,5.264464551330773,0.0260012149810791,5,5.0,0.0
iris,StrategyNN,2.2653079875790803,2.2662671437914845,16.673063278198242,5,5.0,0.0
iris,GeneticNN,1.7647557065604542,1.7434684045220434,21.393656253814697,5,5.0,0.0
iris,BasicNN,3.6986365684466875,11.693947065164549,0.009002208709716797,5,5.0,1.0
iris,RandomNN,1.97620052290961,2.0442255147875943,0.006997823715209961,5,5.0,1.0
iris,AnnealedNN,8.054840127461953,8.653081272324881,0.02799701690673828,5,5.0,1.0
iris,StrategyNN,2.571246613524222,2.3988110996838614,13.831518411636353,5,5.0,1.0
iris,GeneticNN,1.6791270989581315,1.597015954049083,17.110300540924072,5,5.0,1.0
iris,BasicNN,2.972635469018697,7.7409982532308925,0.00099945068359375,5,5.0,2.0
iris,RandomNN,2.0107895289124467,2.238644255986612,0.005997419357299805,5,5.0,2.0
iris,AnnealedNN,1.9272631503961308,3.512713735583777,0.027001619338989258,5,5.0,2.0
iris,StrategyNN,2.197481705638274,2.106241910572,12.412189483642578,5,5.0,2.0
iris,GeneticNN,1.542483849806662,1.550932443707584,19.625487327575684,5,5.0,2.0
iris,BasicNN,2.768302009482492,4.780862388996235,0.006000995635986328,5,5.0,3.0
iris,RandomNN,2.603595101106702,2.430915796005807,0.0070040225982666016,5,5.0,3.0
iris,AnnealedNN,2.266749091831509,6.12570710414129,0.021997690200805664,5,5.0,3.0
iris,StrategyNN,1.9952946195540697,2.0413402696549974,12.970454454421997,5,5.0,3.0
iris,GeneticNN,1.5783461238322807,1.725991111998803,15.881392002105713,5,5.0,3.0
iris,BasicNN,5.92658388471964,9.21609325479305,0.0060007572174072266,5,5.0,4.0
iris,RandomNN,2.4172192402680994,2.6200255901341465,0.009004354476928711,5,5.0,4.0
iris,AnnealedNN,4.622895947881553,4.951108128294568,0.019004106521606445,5,5.0,4.0
iris,StrategyNN,2.352036742604493,2.422818272220659,10.869929790496826,5,5.0,4.0
iris,GeneticNN,1.464540250106229,1.4889376592148964,17.415961265563965,5,5.0,4.0
wine,BasicNN,4.533352094032357,30.48978401161802,0.005001068115234375,5,5.0,0.0
wine,RandomNN,2.5766669854670385,2.288732980311947,0.00700068473815918,5,5.0,0.0
wine,AnnealedNN,2.448026715103206,3.617560639102338,0.01900029182434082,5,5.0,0.0
wine,StrategyNN,1.9654444268475904,2.080200951783408,18.20241403579712,5,5.0,0.0
wine,GeneticNN,1.9495959408766717,1.9539332646361067,22.694522380828857,5,5.0,0.0
wine,BasicNN,5.366109311719982,17.71587029206395,0.0060002803802490234,5,5.0,1.0
wine,RandomNN,2.2863109148126157,2.143234359895754,0.0070018768310546875,5,5.0,1.0
wine,AnnealedNN,2.779911137223281,2.7620199984261404,0.020999431610107422,5,5.0,1.0
wine,StrategyNN,1.8865432920481597,1.9368436419197845,15.095534563064575,5,5.0,1.0
wine,GeneticNN,1.680926535545051,1.7400329983243872,24.571152687072754,5,5.0,1.0
wine,BasicNN,1.9063847064380677,5.673278920534547,0.005013465881347656,5,5.0,2.0
wine,RandomNN,2.465085422780139,2.4955734632267554,0.009000539779663086,5,5.0,2.0
wine,AnnealedNN,3.5065203452712557,3.946765035128813,0.030002117156982422,5,5.0,2.0
wine,StrategyNN,1.9040329926859096,2.0095498846446125,16.145144939422607,5,5.0,2.0
wine,GeneticNN,1.9346780668796284,2.0522639558933937,26.640080451965332,5,5.0,2.0
wine,BasicNN,6.0170768500141145,22.928326992991455,0.0,5,5.0,3.0
wine,RandomNN,2.9394663530985405,2.666438689871051,0.008998632431030273,5,5.0,3.0
wine,AnnealedNN,2.5564784669856255,2.8076244016374297,0.02000284194946289,5,5.0,3.0
wine,StrategyNN,2.144697625813289,2.275306659906016,14.72052550315857,5,5.0,3.0
wine,GeneticNN,1.8647164599390507,1.818882290663089,22.984833002090454,5,5.0,3.0
wine,BasicNN,2.369652163157603,13.645668787788216,0.005999565124511719,5,5.0,4.0
wine,RandomNN,2.002963094787887,1.932330219811282,0.00800323486328125,5,5.0,4.0
wine,AnnealedNN,4.1992730880253175,5.096731752994041,0.019011735916137695,5,5.0,4.0
wine,StrategyNN,2.3270515778261713,2.0128415763351994,21.002012968063354,5,5.0,4.0
wine,GeneticNN,1.8802627843296484,1.856617385106533,25.295047998428345,5,5.0,4.0
breast_cancer,BasicNN,2.84955913406202,,0.0,5,5.0,0.0
breast_cancer,RandomNN,1.5222563132704787,1.6312153148091741,0.01688551902770996,5,5.0,0.0
breast_cancer,AnnealedNN,3.1297659742590436,3.1632361672182228,0.028884172439575195,5,5.0,0.0
breast_cancer,StrategyNN,1.4253201259178514,1.4885405072495195,5.535919666290283,5,5.0,0.0
breast_cancer,GeneticNN,1.0480359255132747,1.1418615631475415,6.595212459564209,5,5.0,0.0
breast_cancer,BasicNN,2.502174426604445,,0.010001659393310547,5,5.0,1.0
breast_cancer,RandomNN,1.3713950542266424,1.246738242882056,0.01199793815612793,5,5.0,1.0
breast_cancer,AnnealedNN,1.9188599281201943,2.1400390211334583,0.02799677848815918,5,5.0,1.0
breast_cancer,StrategyNN,1.4170612365936395,1.3184379664873058,5.320821523666382,5,5.0,1.0
breast_cancer,GeneticNN,1.1808062749453003,1.2244825519148965,6.477968454360962,5,5.0,1.0
breast_cancer,BasicNN,1.9036813841201057,,0.012938976287841797,5,5.0,2.0
breast_cancer,RandomNN,1.384829256038253,1.3753420133979848,0.017000675201416016,5,5.0,2.0
breast_cancer,AnnealedNN,2.540690388282189,2.487870547507962,0.03500032424926758,5,5.0,2.0
breast_cancer,StrategyNN,1.3543917819899636,1.3155898218405688,6.196207761764526,5,5.0,2.0
breast_cancer,GeneticNN,1.0865485150351286,1.0463925241139165,7.470410108566284,5,5.0,2.0
breast_cancer,BasicNN,4.777295910311299,39.60625190377443,0.010001420974731445,5,5.0,3.0
breast_cancer,RandomNN,1.4654954402536957,1.4809029612421805,0.021000146865844727,5,5.0,3.0
breast_cancer,AnnealedNN,1.9845635796245862,4.639574411351392,0.0319981575012207,5,5.0,3.0
breast_cancer,StrategyNN,1.6518818649934526,1.6806689406520325,4.96239709854126,5,5.0,3.0
breast_cancer,GeneticNN,1.0114984873200121,1.115904813852664,7.532132387161255,5,5.0,3.0
breast_cancer,BasicNN,1.5212212542556423,2.651757832488778,0.010003089904785156,5,5.0,4.0
breast_cancer,RandomNN,1.3208682070785775,1.397070511709701,0.014997720718383789,5,5.0,4.0
breast_cancer,AnnealedNN,2.809464883148756,2.935363162973589,0.027002811431884766,5,5.0,4.0
breast_cancer,StrategyNN,1.334131642104499,1.3211225155686421,5.671056747436523,5,5.0,4.0
breast_cancer,GeneticNN,0.7904687164249743,0.7323038755233031,6.8441383838653564,5,5.0,4.0
heart,BasicNN,8.690537614753156,23.559547052864943,0.008004903793334961,5,5.0,0.0
heart,RandomNN,2.9380896362759072,3.2113071492698784,0.02299785614013672,5,5.0,0.0
heart,AnnealedNN,2.9025794187659426,13.522396835722281,0.030997276306152344,5,5.0,0.0
heart,StrategyNN,4.666278871411677,4.728779983240931,6.9579620361328125,5,5.0,0.0
heart,GeneticNN,2.5566784144782586,2.625182493505564,8.58324933052063,5,5.0,0.0
heart,BasicNN,3.575092305805746,10.190008066396691,0.008999109268188477,5,5.0,1.0
heart,RandomNN,3.257481702174146,3.1112419841486,0.009001731872558594,5,5.0,1.0
heart,AnnealedNN,6.10433071247612,6.225246927041353,0.023999929428100586,5,5.0,1.0
heart,StrategyNN,2.7633427560668036,2.7958867187247933,6.511740207672119,5,5.0,1.0
heart,GeneticNN,2.2581034151714623,2.298206316911456,9.73373532295227,5,5.0,1.0
heart,BasicNN,5.395536437298728,6.2172118734575985,0.008997917175292969,5,5.0,2.0
heart,RandomNN,2.876428006126214,2.5621273745217916,0.009999752044677734,5,5.0,2.0
heart,AnnealedNN,12.792904100250947,13.399690795074953,0.02400064468383789,5,5.0,2.0
heart,StrategyNN,5.603040780988176,5.333602989671632,5.595720052719116,5,5.0,2.0
heart,GeneticNN,2.138595238107109,2.006936105015401,8.48088002204895,5,5.0,2.0
heart,BasicNN,4.579652213103159,23.326036745535212,0.0069980621337890625,5,5.0,3.0
heart,RandomNN,4.543609697778225,4.109487944060192,0.00999903678894043,5,5.0,3.0
