dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,AnnealedNN,2.545479768667091,3.466696829040241,0.032212018966674805,5,10.0,0.0
iris,AnnealedNN,2.289433366542059,10.964519427973576,0.03024005889892578,5,10.0,1.0
iris,AnnealedNN,3.145467596354899,10.206102098639231,0.029883861541748047,5,10.0,2.0
iris,AnnealedNN,2.2905908326636957,2.3345148001131473,0.026875019073486328,5,10.0,3.0
iris,AnnealedNN,2.710256343117313,4.454921953337207,0.02765679359436035,5,10.0,4.0
wine,AnnealedNN,4.867365905689164,7.414587949819299,0.047638893127441406,5,10.0,0.0
wine,AnnealedNN,2.363327848237688,5.608345051146056,0.04409003257751465,5,10.0,1.0
wine,AnnealedNN,2.421808957613387,7.96468719907199,0.038954973220825195,5,10.0,2.0
wine,AnnealedNN,2.481473688108476,3.7704297250227357,0.04035687446594238,5,10.0,3.0
wine,AnnealedNN,2.229040254102742,10.393772573718573,0.04229116439819336,5,10.0,4.0
breast_cancer,AnnealedNN,3.174733200232581,4.185395542729624,0.0336298942565918,5,10.0,0.0
breast_cancer,AnnealedNN,1.283008880441715,1.232620773910541,0.03881525993347168,5,10.0,1.0
breast_cancer,AnnealedNN,3.387513871245711,3.530335642716795,0.03455805778503418,5,10.0,2.0
breast_cancer,AnnealedNN,1.6749419422944392,3.6050827989436476,0.03391075134277344,5,10.0,3.0
breast_cancer,AnnealedNN,1.7208486618000391,6.438106168485836,0.03783392906188965,5,10.0,4.0
heart,AnnealedNN,5.864951529365712,5.927928015658839,0.04811906814575195,5,10.0,0.0
heart,AnnealedNN,7.318152183722709,15.497785562682305,0.049629926681518555,5,10.0,1.0
heart,AnnealedNN,8.883442558708376,9.302095367923293,0.04862093925476074,5,10.0,2.0
heart,AnnealedNN,4.792847053131055,21.654020870100684,0.04290604591369629,5,10.0,3.0
heart,AnnealedNN,4.479244391575922,11.869880752217965,0.04344987869262695,5,10.0,4.0
iris,AnnealedNN,2.3352005038826356,10.901892279908223,0.030494213104248047,5,10.0,0.0
iris,AnnealedNN,6.8628493793309735,4.86164265873844,0.02767205238342285,5,10.0,1.0
iris,AnnealedNN,2.4058268535790956,2.4852950433403946,0.03086709976196289,5,10.0,2.0
iris,AnnealedNN,6.460771396329507,7.624546989144081,0.028486013412475586,5,10.0,3.0
iris,AnnealedNN,6.786933140854437,7.706742373736585,0.026525020599365234,5,10.0,4.0
wine,AnnealedNN,3.5758682703252727,4.2762117264502555,0.041175127029418945,5,10.0,0.0
wine,AnnealedNN,3.6862722636412095,3.695834404072312,0.038002967834472656,5,10.0,1.0
wine,AnnealedNN,4.348675426153028,8.456865426096938,0.03745102882385254,5,10.0,2.0
wine,AnnealedNN,2.5195310399638338,4.527297255112962,0.0385589599609375,5,10.0,3.0
wine,AnnealedNN,3.488802920008297,2.61630550643112,0.039218902587890625,5,10.0,4.0
breast_cancer,AnnealedNN,1.216461317732833,2.6991853407667166,0.03538799285888672,5,10.0,0.0
breast_cancer,AnnealedNN,9.390605183144482,9.430748683860216,0.031265974044799805,5,10.0,1.0
breast_cancer,AnnealedNN,1.3333077079533955,1.3436382604667376,0.04139089584350586,5,10.0,2.0
breast_cancer,AnnealedNN,4.641034626123745,5.075984392550516,0.046437978744506836,5,10.0,3.0
breast_cancer,AnnealedNN,6.36962267135219,6.5888901353422344,0.040084123611450195,5,10.0,4.0
heart,AnnealedNN,5.260684880183258,5.045071804623803,0.045146942138671875,5,10.0,0.0
heart,AnnealedNN,5.834396514975862,6.097811415215905,0.04958796501159668,5,10.0,1.0
heart,AnnealedNN,8.34179164640771,7.604358096685356,0.051319122314453125,5,10.0,2.0
heart,AnnealedNN,13.358961984622853,12.15824261936958,0.04988288879394531,5,10.0,3.0
heart,AnnealedNN,3.392411089919967,6.89742065438013,0.050887107849121094,5,10.0,4.0
iris,AnnealedNN,3.7016285232887283,4.021493599983573,0.031385183334350586,5,10.0,0.0
iris,AnnealedNN,3.1446652366852827,3.1316697741073627,0.03055405616760254,5,10.0,1.0
iris,AnnealedNN,3.217946889463236,6.906415216592891,0.030647993087768555,5,10.0,2.0
iris,AnnealedNN,3.8135575092789753,5.866150829795584,0.030309677124023438,5,10.0,3.0
iris,AnnealedNN,2.1156817749585013,7.095121452070925,0.030187129974365234,5,10.0,4.0
wine,AnnealedNN,16.8366812107658,15.091473682047196,0.04308295249938965,5,10.0,0.0
wine,AnnealedNN,3.0173562648573142,3.876747726007647,0.039769887924194336,5,10.0,1.0
wine,AnnealedNN,6.266905858260809,6.68987646912969,0.041381120681762695,5,10.0,2.0
wine,AnnealedNN,2.7667464278786307,2.7145855985740375,0.04144477844238281,5,10.0,3.0
wine,AnnealedNN,3.582475712856331,3.842870524524647,0.04304909706115723,5,10.0,4.0
breast_cancer,AnnealedNN,2.3382636812230024,4.362270232830366,0.03361368179321289,5,10.0,0.0
breast_cancer,AnnealedNN,1.8495700526110255,2.220229740559768,0.03370189666748047,5,10.0,1.0
breast_cancer,AnnealedNN,1.6681745730715563,10.355797181271578,0.03790903091430664,5,10.0,2.0
breast_cancer,AnnealedNN,1.665448177880257,2.6795355651502195,0.037821054458618164,5,10.0,3.0
breast_cancer,AnnealedNN,1.2811489206043494,6.0796238068652695,0.038243770599365234,5,10.0,4.0
heart,AnnealedNN,3.677300320866902,11.56532534073997,0.04744982719421387,5,10.0,0.0
heart,AnnealedNN,4.7102975015867745,5.082864067020581,0.04836702346801758,5,10.0,1.0
heart,AnnealedNN,5.312806625671036,7.215990582662576,0.04892897605895996,5,10.0,2.0
heart,AnnealedNN,3.9535803265217626,6.006082795305925,0.04185605049133301,5,10.0,3.0
heart,AnnealedNN,4.535830961853954,7.81089101614062,0.049108028411865234,5,10.0,4.0
iris,AnnealedNN,1.9896299760279152,5.833447685848341,0.030850648880004883,5,10.0,0.0
iris,AnnealedNN,2.3038777825665813,10.111886736833574,0.02775287628173828,5,10.0,1.0
iris,AnnealedNN,2.212664689045805,9.364581910745148,0.02976703643798828,5,10.0,2.0
iris,AnnealedNN,2.351925527872565,2.3345481730126583,0.03046107292175293,5,10.0,3.0
iris,AnnealedNN,4.607402810524748,28.492423095753193,0.027441740036010742,5,10.0,4.0
wine,AnnealedNN,2.2761257415003335,7.060676175742682,0.042398929595947266,5,10.0,0.0
wine,AnnealedNN,14.330519823628002,14.28680315899039,0.04061102867126465,5,10.0,1.0
wine,AnnealedNN,6.311235480724432,8.237720725806115,0.03769111633300781,5,10.0,2.0
wine,AnnealedNN,2.858653341378578,9.61909645621707,0.041545867919921875,5,10.0,3.0
wine,AnnealedNN,2.5327658275016147,5.950340935515319,0.03754305839538574,5,10.0,4.0
breast_cancer,AnnealedNN,1.8912449393254196,6.03829079840815,0.03645682334899902,5,10.0,0.0
breast_cancer,AnnealedNN,1.2122126159626878,1.6405079207767113,0.03679990768432617,5,10.0,1.0
breast_cancer,AnnealedNN,1.6045194436571675,5.694432738894568,0.03310394287109375,5,10.0,2.0
breast_cancer,AnnealedNN,1.0996636555072468,3.117690354681131,0.03194689750671387,5,10.0,3.0
breast_cancer,AnnealedNN,4.425281848061935,4.060905611968553,0.03401494026184082,5,10.0,4.0
heart,AnnealedNN,3.2877914944991042,3.5208669956724883,0.046113014221191406,5,10.0,0.0
heart,AnnealedNN,3.876638202068852,11.623423904719923,0.04705095291137695,5,10.0,1.0
heart,AnnealedNN,8.060398785209038,11.743576850835044,0.04986214637756348,5,10.0,2.0
heart,AnnealedNN,5.66885924600934,7.523039069270492,0.04764413833618164,5,10.0,3.0
heart,AnnealedNN,3.028922682105266,5.475707633663202,0.04894900321960449,5,10.0,4.0
iris,AnnealedNN,2.592277312446239,2.7629636541218563,0.03191399574279785,5,10.0,0.0
iris,AnnealedNN,5.5294524072574625,5.458145625787756,0.031050920486450195,5,10.0,1.0
iris,AnnealedNN,2.082984080295613,2.3115175118370703,0.0280609130859375,5,10.0,2.0
iris,AnnealedNN,6.874464859005745,6.785747681874586,0.027000904083251953,5,10.0,3.0
iris,AnnealedNN,1.8697737798291787,8.100934325074384,0.027831077575683594,5,10.0,4.0
wine,AnnealedNN,2.509503058750061,7.766084446408912,0.05380392074584961,5,10.0,0.0
wine,AnnealedNN,2.3021636464368425,2.4123851232022484,0.04832196235656738,5,10.0,1.0
wine,AnnealedNN,2.29039131533834,3.872021171012701,0.03856706619262695,5,10.0,2.0
wine,AnnealedNN,2.506916878631697,9.705532970118272,0.038130998611450195,5,10.0,3.0
wine,AnnealedNN,3.8991652393018623,6.664833914805354,0.04261302947998047,5,10.0,4.0
breast_cancer,AnnealedNN,1.2844058995190086,5.980129729562221,0.03470778465270996,5,10.0,0.0
breast_cancer,AnnealedNN,1.271531309277755,1.8130109018554428,0.033718109130859375,5,10.0,1.0
breast_cancer,AnnealedNN,10.007414201564094,9.980690197026297,0.03846883773803711,5,10.0,2.0
breast_cancer,AnnealedNN,1.0417155695119669,1.0227627640159938,0.03233933448791504,5,10.0,3.0
breast_cancer,AnnealedNN,1.7199780151622142,13.282196744098822,0.04219317436218262,5,10.0,4.0
heart,AnnealedNN,4.8386772358772285,10.405485161719298,0.04848289489746094,5,10.0,0.0
heart,AnnealedNN,7.490328545092163,8.355542113225905,0.050665855407714844,5,10.0,1.0
heart,AnnealedNN,4.7526326879962175,6.044793289668137,0.04247307777404785,5,10.0,2.0
heart,AnnealedNN,3.0379985693922387,6.611756751912745,0.04546308517456055,5,10.0,3.0
heart,AnnealedNN,5.626528573714896,16.351708814917682,0.04421663284301758,5,10.0,4.0
iris,AnnealedNN,1.9058224463357105,7.92490174070646,0.029478788375854492,5,10.0,0.0
iris,AnnealedNN,3.1707823394945214,5.065770722236716,0.026925086975097656,5,10.0,1.0
iris,AnnealedNN,8.152995471364529,8.848090126273727,0.03132987022399902,5,10.0,2.0
iris,AnnealedNN,4.076891336089377,3.641706546714467,0.030586957931518555,5,10.0,3.0
iris,AnnealedNN,2.2487702720100637,4.2131041578136195,0.030601978302001953,5,10.0,4.0
wine,AnnealedNN,13.827951628885987,13.76986231506031,0.03820514678955078,5,10.0,0.0
wine,AnnealedNN,2.1700890833704976,2.6077118252541656,0.048091888427734375,5,10.0,1.0
wine,AnnealedNN,4.357137165686723,5.996068119492918,0.04488325119018555,5,10.0,2.0
wine,AnnealedNN,4.176821117329472,6.468350398324101,0.043959856033325195,5,10.0,3.0
wine,AnnealedNN,2.04245013425955,2.1235792266302935,0.04120230674743652,5,10.0,4.0
breast_cancer,AnnealedNN,3.4715067923005787,7.146991350694465,0.03365015983581543,5,10.0,0.0
breast_cancer,AnnealedNN,2.804394681716123,6.958273474314002,0.037127017974853516,5,10.0,1.0
breast_cancer,AnnealedNN,1.3933604573659903,9.315066020023492,0.03297996520996094,5,10.0,2.0
breast_cancer,AnnealedNN,1.7268299132395686,3.7941658518478345,0.03925800323486328,5,10.0,3.0
