nnet,dataset,tr_mean,tr_std,te_mean,te_std,mean_time,std_time,overfitting
BasicNN,iris,3.0722,0.8264,5.2213,2.4945,0.0035,0.0021,2.1491
BasicNN,wine,3.1863,0.998,7.3872,3.6355,0.0038,0.0021,4.2009
BasicNN,breast_cancer,1.9323,0.5499,343597395.5227,1169098928.1027,0.0076,0.002,343597393.5904
BasicNN,heart,4.9564,1.6237,10.7304,5.5823,0.0074,0.003,5.774
RandomNN,iris,2.1739,0.2422,2.1943,0.2838,0.0062,0.0019,0.0204
RandomNN,wine,2.2083,0.2203,2.2289,0.2745,0.0066,0.0017,0.0206
RandomNN,breast_cancer,1.4263,0.1566,1.4216,0.143,0.0116,0.0034,0.0047
RandomNN,heart,3.2758,0.642,3.3008,0.6663,0.0103,0.0028,0.025
AnnealedNN,iris,3.5194,1.6518,4.6036,2.2089,0.0213,0.0055,1.0842
AnnealedNN,wine,3.5871,1.7449,4.537,2.2067,0.0211,0.0018,0.9499
AnnealedNN,breast_cancer,2.5422,1.2506,3.5782,1.9731,0.0247,0.0046,1.036
AnnealedNN,heart,5.2811,2.5646,6.3615,3.1123,0.0237,0.0073,1.0804
StrategyNN,iris,2.18,0.3483,2.1777,0.3568,23.049,1.356,0.0023
StrategyNN,wine,2.1376,0.232,2.1284,0.2324,28.0844,1.7484,0.0092
StrategyNN,breast_cancer,1.3871,0.1752,1.3954,0.189,3.7305,0.3475,0.0083
StrategyNN,heart,3.4624,0.8001,3.4728,0.815,4.4249,0.3621,0.0104
GeneticNN,iris,1.6343,0.1082,1.6482,0.145,36.1779,2.9749,0.0139
GeneticNN,wine,1.8557,0.0635,1.8763,0.0952,44.8121,4.0197,0.0206
GeneticNN,breast_cancer,1.0735,0.0849,1.0882,0.1008,5.0641,0.4147,0.0147
GeneticNN,heart,2.2518,0.1002,2.2631,0.1573,6.1373,0.4725,0.0113
