nnet,dataset,tr_mean,tr_std,te_mean,te_std,mean_time,std_time
BasicNN,iris,3.1599,1.0136,5.147,2.3832,0.0031,0.0023
BasicNN,wine,3.1975,1.1275,7.2958,3.7307,0.0038,0.0023
BasicNN,breast_cancer,2.0071,0.6272,515396087.6867,1400374887.7065,0.0074,0.0022
BasicNN,heart,5.1149,1.7461,11.4326,5.5328,0.0072,0.0023
RandomNN,iris,2.0579,0.1785,2.0681,0.2079,0.0126,0.0035
RandomNN,wine,2.0798,0.1326,2.0971,0.1835,0.0129,0.0024
RandomNN,breast_cancer,1.3604,0.1161,1.3683,0.1352,0.0212,0.0109
RandomNN,heart,3.0094,0.4645,3.031,0.4898,0.0192,0.004
AnnealedNN,iris,4.0651,1.9851,5.2681,2.9043,0.0379,0.0239
AnnealedNN,wine,4.0252,2.0165,5.0769,2.7929,0.0369,0.0111
AnnealedNN,breast_cancer,3.0227,1.6673,3.7548,1.906,0.0434,0.0144
AnnealedNN,heart,6.2363,2.837,7.593,4.0991,0.0427,0.02
StrategyNN,iris,1.8759,0.0641,1.8944,0.0679,94.3982,4.1202
StrategyNN,wine,1.9159,0.0309,1.9355,0.0581,115.0535,5.0797
StrategyNN,breast_cancer,1.2576,0.0591,1.2611,0.0733,14.4655,0.5535
StrategyNN,heart,2.4157,0.234,2.4193,0.2381,16.6932,0.9361
GeneticNN,iris,1.4988,0.1267,1.5307,0.2073,127.2934,7.3075
GeneticNN,wine,1.783,0.082,1.8148,0.1013,155.0234,9.0034
GeneticNN,breast_cancer,0.9457,0.0886,0.9512,0.1086,17.2997,0.9692
GeneticNN,heart,2.1577,0.0677,2.1908,0.1646,21.1277,1.3024
