dataset,neural_network,training_loss,testing_loss,time,number_of_folds,epochs,fold
iris,BasicNN,3.6400001452730906,7.15165359734367,0.005001544952392578,5,10.0,0.0
iris,RandomNN,1.8516932370743595,1.867471788684772,0.01199793815612793,5,10.0,0.0
iris,AnnealedNN,5.717833137102337,9.17412464063494,0.044992923736572266,5,10.0,0.0
iris,StrategyNN,1.892328800216209,1.8943936785131232,111.75413298606873,5,10.0,0.0
iris,GeneticNN,1.5835006477110771,1.5672964113681993,149.81046724319458,5,10.0,0.0
iris,BasicNN,2.2073441895261308,4.705893962669308,0.0030002593994140625,5,10.0,1.0
iris,RandomNN,2.1825603419484283,2.023634661516407,0.01400136947631836,5,10.0,1.0
iris,AnnealedNN,2.8966296144915598,2.931796484159559,0.0366053581237793,5,10.0,1.0
iris,StrategyNN,1.8569484286116185,1.8818401196155017,103.08945035934448,5,10.0,1.0
iris,GeneticNN,1.3489260444065516,1.2769588484502976,133.92128014564514,5,10.0,1.0
iris,BasicNN,2.1863354036215483,2.333491832112242,0.00400090217590332,5,10.0,2.0
iris,RandomNN,2.009569608928326,2.0228992702664828,0.008996725082397461,5,10.0,2.0
iris,AnnealedNN,4.28997817643711,5.118199659461215,0.03399848937988281,5,10.0,2.0
iris,StrategyNN,1.9301000843246516,1.9376582422112116,91.22037029266357,5,10.0,2.0
iris,GeneticNN,1.5383124365253924,1.4837529567890992,128.58700799942017,5,10.0,2.0
iris,BasicNN,3.4414298933531615,3.0541535583753485,0.0,5,10.0,3.0
iris,RandomNN,1.8026455731422795,1.8020203208312924,0.009999990463256836,5,10.0,3.0
iris,AnnealedNN,4.453833965039692,4.864711532678871,0.03626823425292969,5,10.0,3.0
iris,StrategyNN,1.896805863344009,1.9322351360661985,93.75749182701111,5,10.0,3.0
iris,GeneticNN,1.1435098703379194,1.2956802749578533,123.35984826087952,5,10.0,3.0
iris,BasicNN,2.05242891777951,2.2227623852598932,0.0,5,10.0,4.0
iris,RandomNN,1.6247309878522287,1.639969840692808,0.018998146057128906,5,10.0,4.0
iris,AnnealedNN,2.3278017521310885,3.68385521720571,0.0370023250579834,5,10.0,4.0
iris,StrategyNN,1.9200689574956,1.921426549037951,88.93318629264832,5,10.0,4.0
iris,GeneticNN,1.4604968819393833,1.49135820909159,121.37905144691467,5,10.0,4.0
wine,BasicNN,2.8626515091868128,7.069650262902847,0.0029976367950439453,5,10.0,0.0
wine,RandomNN,1.9727732945746412,1.869372193425573,0.016997575759887695,5,10.0,0.0
wine,AnnealedNN,4.049163737372264,3.530015186335357,0.03658318519592285,5,10.0,0.0
wine,StrategyNN,1.924656966681001,1.8496723797390298,109.90982413291931,5,10.0,0.0
wine,GeneticNN,1.77924800786796,1.8653113127981273,151.09471011161804,5,10.0,0.0
wine,BasicNN,3.063476334477182,8.457906861289786,0.0030014514923095703,5,10.0,1.0
wine,RandomNN,2.008319244983016,2.157715800731982,0.01600503921508789,5,10.0,1.0
wine,AnnealedNN,2.1502513733725537,2.179103938163286,0.03599953651428223,5,10.0,1.0
wine,StrategyNN,1.9013297369966986,1.951980266650214,111.57177424430847,5,10.0,1.0
wine,GeneticNN,1.756764961042314,1.7226474118190533,156.82669186592102,5,10.0,1.0
wine,BasicNN,4.0912271717441735,3.2288087968815224,0.0029997825622558594,5,10.0,2.0
wine,RandomNN,2.1438784248804867,2.192979943988672,0.017004728317260742,5,10.0,2.0
wine,AnnealedNN,5.199911219843653,5.627105228205472,0.040000200271606445,5,10.0,2.0
wine,StrategyNN,1.9037996734038354,1.93027364408143,115.77130508422852,5,10.0,2.0
wine,GeneticNN,1.7496580059808948,1.7090442189161419,153.34036326408386,5,10.0,2.0
wine,BasicNN,2.341191345146662,2.6133720943598555,0.003000497817993164,5,10.0,3.0
wine,RandomNN,2.1973888183846806,2.1117140350987587,0.01300048828125,5,10.0,3.0
wine,AnnealedNN,3.6336416621006227,4.7699570667850955,0.03400444984436035,5,10.0,3.0
wine,StrategyNN,1.921598347209679,1.869937759807783,111.70817399024963,5,10.0,3.0
wine,GeneticNN,1.9116285151179118,1.8802507968323647,144.22081542015076,5,10.0,3.0
wine,BasicNN,3.626154250849703,9.089470008182246,0.001999378204345703,5,10.0,4.0
wine,RandomNN,2.4556123607012874,2.827946453653619,0.00900125503540039,5,10.0,4.0
wine,AnnealedNN,5.443106108652129,5.046344943875215,0.03800463676452637,5,10.0,4.0
wine,StrategyNN,1.9155719629775145,1.9525077801928363,109.17633700370789,5,10.0,4.0
wine,GeneticNN,1.7522515819768767,1.7624458945421588,149.41874885559082,5,10.0,4.0
breast_cancer,BasicNN,2.038276219793572,6.7501304330273015,0.009998321533203125,5,10.0,0.0
breast_cancer,RandomNN,1.2558944657414366,1.3337804906849686,0.01899886131286621,5,10.0,0.0
breast_cancer,AnnealedNN,2.3503680023230906,2.5477471474115063,0.04799461364746094,5,10.0,0.0
breast_cancer,StrategyNN,1.1718831237085787,1.3170975325362455,14.437200546264648,5,10.0,0.0
breast_cancer,GeneticNN,0.988596404517379,1.0587289636661976,17.37741708755493,5,10.0,0.0
breast_cancer,BasicNN,2.115486502118579,,0.009001970291137695,5,10.0,1.0
breast_cancer,RandomNN,1.2900124838518545,1.2582708891176804,0.022999286651611328,5,10.0,1.0
breast_cancer,AnnealedNN,1.8956517592355957,1.5401321277190148,0.09101104736328125,5,10.0,1.0
breast_cancer,StrategyNN,1.3425501964650424,1.2430985733827062,14.119404077529907,5,10.0,1.0
breast_cancer,GeneticNN,0.9187108041681281,0.8553224665005283,16.99437689781189,5,10.0,1.0
breast_cancer,BasicNN,1.6634187567202612,10.272879920318822,0.0059969425201416016,5,10.0,2.0
breast_cancer,RandomNN,1.218829347920734,1.117663727563269,0.01999807357788086,5,10.0,2.0
breast_cancer,AnnealedNN,2.680952158266389,4.296400667125548,0.040999412536621094,5,10.0,2.0
breast_cancer,StrategyNN,1.2641857104710552,1.2295403844904282,13.197575092315674,5,10.0,2.0
breast_cancer,GeneticNN,1.0011608945911685,0.9675760725288106,17.817065715789795,5,10.0,2.0
breast_cancer,BasicNN,2.57613617332611,11.035603703502064,0.008998632431030273,5,10.0,3.0
breast_cancer,RandomNN,1.3137881963765459,1.337613732310683,0.021999120712280273,5,10.0,3.0
breast_cancer,AnnealedNN,1.3278920249991344,2.715112369849502,0.041998863220214844,5,10.0,3.0
breast_cancer,StrategyNN,1.2122295798232414,1.2598190983022437,14.4127676486969,5,10.0,3.0
breast_cancer,GeneticNN,0.9173351887569139,0.9031763401137508,17.524951219558716,5,10.0,3.0
breast_cancer,BasicNN,1.6423730990752747,12.294933686669994,0.009001970291137695,5,10.0,4.0
breast_cancer,RandomNN,1.4822631883768795,1.4281142351835148,0.023000717163085938,5,10.0,4.0
breast_cancer,AnnealedNN,2.5048247729971016,2.7574592994119462,0.04300832748413086,5,10.0,4.0
breast_cancer,StrategyNN,1.3150384480630937,1.2897640403495603,14.144957304000854,5,10.0,4.0
breast_cancer,GeneticNN,0.8879180647959289,0.8390190889020799,17.45569157600403,5,10.0,4.0
heart,BasicNN,5.437194967906331,11.017019733756689,0.008001565933227539,5,10.0,0.0
heart,RandomNN,3.9259089988207676,4.1057838446176085,0.012999534606933594,5,10.0,0.0
heart,AnnealedNN,3.904010539883795,7.654368835959578,0.03800034523010254,5,10.0,0.0
heart,StrategyNN,2.4520834936373297,2.4664509791869023,15.494246482849121,5,10.0,0.0
heart,GeneticNN,2.112079689360743,2.196292246178203,21.401036739349365,5,10.0,0.0
heart,BasicNN,9.658550939259907,24.875251945554698,0.006003618240356445,5,10.0,1.0
heart,RandomNN,3.0863125759179812,2.887295043586164,0.019001007080078125,5,10.0,1.0
heart,AnnealedNN,11.138279104469218,11.170610621778735,0.03698992729187012,5,10.0,1.0
heart,StrategyNN,2.2859410142100316,2.3159289598361386,16.32932710647583,5,10.0,1.0
heart,GeneticNN,2.1447760130079194,2.2313843114300607,22.4145667552948,5,10.0,1.0
heart,BasicNN,5.739957370131569,8.760780372777512,0.006000041961669922,5,10.0,2.0
heart,RandomNN,2.8733199636259044,2.5580350350095125,0.019997358322143555,5,10.0,2.0
heart,AnnealedNN,5.339644665080585,6.40302144626342,0.03699803352355957,5,10.0,2.0
heart,StrategyNN,2.3561236980153604,2.294626071828313,15.829168558120728,5,10.0,2.0
heart,GeneticNN,2.165022094553155,1.989255980062569,21.623137712478638,5,10.0,2.0
heart,BasicNN,2.903959583948633,10.444853129483043,0.006002664566040039,5,10.0,3.0
heart,RandomNN,2.5139745290405626,2.7288288755735257,0.015001058578491211,5,10.0,3.0
heart,AnnealedNN,3.671260992541835,3.4359613801914244,0.042014122009277344,5,10.0,3.0
heart,StrategyNN,2.5512251516834628,2.795768930956802,15.603582382202148,5,10.0,3.0
heart,GeneticNN,2.006178911061374,2.6384305340294683,21.304197072982788,5,10.0,3.0
heart,BasicNN,6.812012605648919,15.54933575218911,0.007002115249633789,5,10.0,4.0
heart,RandomNN,3.5820605280313935,3.6243457517858064,0.019997835159301758,5,10.0,4.0
heart,AnnealedNN,8.352987331330057,7.917132687034285,0.036000728607177734,5,10.0,4.0
heart,StrategyNN,2.4167905600427564,2.33264345490627,15.77342963218689,5,10.0,4.0
heart,GeneticNN,2.2542112064737703,2.004256215522093,21.272838830947876,5,10.0,4.0
iris,BasicNN,4.208933847500069,4.817648578763494,0.0040018558502197266,5,10.0,0.0
iris,RandomNN,2.2309049194796593,2.4931590778528325,0.009001970291137695,5,10.0,0.0
iris,AnnealedNN,2.896003696324386,3.3740181828718967,0.03399777412414551,5,10.0,0.0
iris,StrategyNN,1.8911573547289777,1.9103981194476598,96.17305707931519,5,10.0,0.0
