dataset,seed,epoch,fitness
iris,3,0.0,8.764008407640635
iris,3,1.0,4.496679706507239
iris,3,2.0,3.6958813985066836
iris,3,3.0,2.507713287906133
iris,3,4.0,2.507713287906133
iris,3,5.0,2.3702397134731945
iris,3,6.0,2.3702397134731945
iris,3,7.0,2.3702397134731945
iris,3,8.0,2.3702397134731945
iris,3,9.0,2.3702397134731945
iris,3,0.0,2.3696711703594615
iris,3,1.0,2.3696711703594615
iris,3,2.0,2.3696711703594615
iris,3,3.0,2.3696711703594615
iris,3,4.0,2.3696711703594615
iris,3,5.0,2.2848794865852673
iris,3,6.0,2.2848794865852673
iris,3,7.0,12.328434554904032
iris,3,8.0,12.091533681157708
iris,3,9.0,2.2848794865852673
iris,3,0.0,3.265468309608897
iris,3,1.0,6.804601280487361
iris,3,2.0,6.109861838779414
iris,3,3.0,5.7394964244152735
iris,3,4.0,4.024143443200836
iris,3,5.0,7.0333935514169506
iris,3,6.0,6.102320578969299
iris,3,7.0,6.102320578969299
iris,3,8.0,3.9434098998677314
iris,3,9.0,3.265468309608897
iris,3,0.0,4.606802717505225
iris,3,1.0,4.606802717505225
iris,3,2.0,3.146419956869904
iris,3,3.0,5.3512752306037354
iris,3,4.0,5.3512752306037354
iris,3,5.0,10.21274210601245
iris,3,6.0,10.21274210601245
iris,3,7.0,10.21274210601245
iris,3,8.0,6.757411616946646
iris,3,9.0,3.146419956869904
iris,3,0.0,10.661363515073754
iris,3,1.0,8.444401335470907
iris,3,2.0,9.375120346052919
iris,3,3.0,3.554754484315907
iris,3,4.0,6.706381042563043
iris,3,5.0,3.990178236893856
iris,3,6.0,3.990178236893856
iris,3,7.0,3.695377485565146
iris,3,8.0,3.695377485565146
iris,3,9.0,3.554754484315907
wine,3,0.0,2.410512582246747
wine,3,1.0,2.7772683191669416
wine,3,2.0,10.600436471492253
wine,3,3.0,4.576606332014046
wine,3,4.0,2.593588822481574
wine,3,5.0,3.444874429098245
wine,3,6.0,3.444874429098245
wine,3,7.0,2.4116721068116203
wine,3,8.0,2.4116721068116203
wine,3,9.0,2.410512582246747
wine,3,0.0,3.4717824518054026
wine,3,1.0,6.15861248941977
wine,3,2.0,6.778088481732099
wine,3,3.0,4.14188713378121
wine,3,4.0,3.7414736935639703
wine,3,5.0,3.3363233356591855
wine,3,6.0,7.015633351728385
wine,3,7.0,7.015633351728385
wine,3,8.0,7.015633351728385
wine,3,9.0,3.3363233356591855
wine,3,0.0,1.9914678414230902
wine,3,1.0,1.9914678414230902
wine,3,2.0,9.55754319136759
wine,3,3.0,2.1911840848262356
wine,3,4.0,7.258338332130065
wine,3,5.0,2.26705487941345
wine,3,6.0,2.26705487941345
wine,3,7.0,2.26705487941345
wine,3,8.0,2.26705487941345
wine,3,9.0,1.9914678414230902
wine,3,0.0,3.538960554064265
wine,3,1.0,3.538960554064265
wine,3,2.0,5.988387361067956
wine,3,3.0,5.988387361067956
wine,3,4.0,5.537752395312892
wine,3,5.0,3.966567336172771
wine,3,6.0,2.598359316108076
wine,3,7.0,7.103451145906163
wine,3,8.0,7.103451145906163
wine,3,9.0,2.598359316108076
wine,3,0.0,5.62209560102733
wine,3,1.0,3.942162200754256
wine,3,2.0,9.90861919066778
wine,3,3.0,14.197673429192545
wine,3,4.0,2.474819699235515
wine,3,5.0,2.474819699235515
wine,3,6.0,2.474819699235515
wine,3,7.0,2.474819699235515
wine,3,8.0,2.474819699235515
wine,3,9.0,2.474819699235515
breast_cancer,3,0.0,2.3815624992748723
breast_cancer,3,1.0,2.1684499453825397
breast_cancer,3,2.0,8.704835125776665
breast_cancer,3,3.0,5.969828444482423
breast_cancer,3,4.0,4.59099119453245
breast_cancer,3,5.0,4.55374210881562
breast_cancer,3,6.0,4.55374210881562
breast_cancer,3,7.0,3.835030568742389
breast_cancer,3,8.0,3.738496267018397
breast_cancer,3,9.0,2.1684499453825397
breast_cancer,3,0.0,5.027310885482603
breast_cancer,3,1.0,4.563237190956568
breast_cancer,3,2.0,4.563237190956568
breast_cancer,3,3.0,2.2947239025952477
breast_cancer,3,4.0,2.2947239025952477
breast_cancer,3,5.0,1.2666481731651034
breast_cancer,3,6.0,1.2666481731651034
breast_cancer,3,7.0,1.2666481731651034
breast_cancer,3,8.0,5.41616688369342
breast_cancer,3,9.0,1.2666481731651034
breast_cancer,3,0.0,1.6233901454279067
breast_cancer,3,1.0,1.6233901454279067
breast_cancer,3,2.0,5.539360667155719
breast_cancer,3,3.0,5.539360667155719
breast_cancer,3,4.0,1.7505052468237248
breast_cancer,3,5.0,1.7505052468237248
breast_cancer,3,6.0,1.5480213415061612
breast_cancer,3,7.0,1.5480213415061612
breast_cancer,3,8.0,1.5480213415061612
breast_cancer,3,9.0,1.5480213415061612
breast_cancer,3,0.0,5.085262133869285
breast_cancer,3,1.0,7.363723011018572
breast_cancer,3,2.0,5.462482206047493
breast_cancer,3,3.0,4.996131903881771
breast_cancer,3,4.0,4.996131903881771
breast_cancer,3,5.0,4.996131903881771
breast_cancer,3,6.0,4.996131903881771
breast_cancer,3,7.0,2.7413971891733544
breast_cancer,3,8.0,2.7413971891733544
breast_cancer,3,9.0,2.7413971891733544
breast_cancer,3,0.0,2.3262865865700553
breast_cancer,3,1.0,1.890710605631765
breast_cancer,3,2.0,1.729335804257472
breast_cancer,3,3.0,1.195543608276946
breast_cancer,3,4.0,1.195543608276946
breast_cancer,3,5.0,1.195543608276946
breast_cancer,3,6.0,1.195543608276946
breast_cancer,3,7.0,3.293628014890107
breast_cancer,3,8.0,2.597010727802668
breast_cancer,3,9.0,1.195543608276946
heart,3,0.0,2.681385346260998
heart,3,1.0,2.681385346260998
heart,3,2.0,2.681385346260998
heart,3,3.0,2.681385346260998
heart,3,4.0,2.681385346260998
heart,3,5.0,2.5961502121387805
heart,3,6.0,2.403540215538659
heart,3,7.0,2.403540215538659
heart,3,8.0,10.584409264972184
heart,3,9.0,2.403540215538659
heart,3,0.0,15.852436856547598
heart,3,1.0,4.665057813212259
heart,3,2.0,6.833805640064587
heart,3,3.0,20.51528761223732
heart,3,4.0,4.840171002208602
heart,3,5.0,4.840171002208602
heart,3,6.0,4.840171002208602
heart,3,7.0,18.029219203698872
heart,3,8.0,5.606138672858148
heart,3,9.0,4.665057813212259
heart,3,0.0,18.242710871230777
heart,3,1.0,13.661534249139224
heart,3,2.0,7.928336558425031
heart,3,3.0,7.928336558425031
heart,3,4.0,17.260233461212543
heart,3,5.0,5.911858924368714
heart,3,6.0,5.911858924368714
heart,3,7.0,8.746318939442807
heart,3,8.0,6.118469614970738
heart,3,9.0,5.911858924368714
heart,3,0.0,19.741642457159443
heart,3,1.0,9.540616839857194
heart,3,2.0,16.83359337676117
heart,3,3.0,39.73121563953022
heart,3,4.0,17.626766201911792
heart,3,5.0,13.934391485305072
heart,3,6.0,5.238882612507798
heart,3,7.0,5.238882612507798
heart,3,8.0,3.6823432333214794
heart,3,9.0,3.6823432333214794
heart,3,0.0,18.19068545095479
heart,3,1.0,14.824715692605235
heart,3,2.0,9.316994377182457
heart,3,3.0,9.316994377182457
heart,3,4.0,9.316994377182457
heart,3,5.0,14.183510044863167
heart,3,6.0,21.22855994465025
heart,3,7.0,4.255982182524508
heart,3,8.0,4.255982182524508
heart,3,9.0,4.255982182524508
iris,17,0.0,3.8344912702586136
iris,17,1.0,10.844026961821822
iris,17,2.0,4.154836235849136
iris,17,3.0,3.187171234084213
iris,17,4.0,3.187171234084213
iris,17,5.0,3.187171234084213
iris,17,6.0,4.107795574380538
iris,17,7.0,4.107795574380538
iris,17,8.0,4.107795574380538
iris,17,9.0,3.187171234084213
iris,17,0.0,5.89136048170531
iris,17,1.0,5.89136048170531
iris,17,2.0,12.06491213015801
iris,17,3.0,5.364752193931544
iris,17,4.0,4.114159599273417
iris,17,5.0,4.114159599273417
iris,17,6.0,7.0012774597458485
iris,17,7.0,7.0012774597458485
iris,17,8.0,7.0012774597458485
iris,17,9.0,4.114159599273417
iris,17,0.0,6.73652254234381
iris,17,1.0,3.7648007681398674
iris,17,2.0,11.602909105506365
iris,17,3.0,8.035988462040576
iris,17,4.0,5.02332844060196
iris,17,5.0,9.175791112170181
iris,17,6.0,10.413235618778337
iris,17,7.0,16.558573516151615
iris,17,8.0,6.6166197203186945
iris,17,9.0,3.7648007681398674
iris,17,0.0,4.465226140728195
iris,17,1.0,4.465226140728195
iris,17,2.0,4.465226140728195
iris,17,3.0,4.465226140728195
iris,17,4.0,16.838312781504357
iris,17,5.0,4.216215830441703
iris,17,6.0,4.216215830441703
iris,17,7.0,4.216215830441703
iris,17,8.0,4.216215830441703
iris,17,9.0,4.216215830441703
iris,17,0.0,3.457556192466363
iris,17,1.0,2.277453714526833
iris,17,2.0,2.277453714526833
iris,17,3.0,5.755076111840997
iris,17,4.0,7.99191296054473
iris,17,5.0,7.99191296054473
iris,17,6.0,5.5003657487725395
iris,17,7.0,6.571526288278848
iris,17,8.0,4.1451746441358654
iris,17,9.0,2.277453714526833
wine,17,0.0,3.321283355938432
wine,17,1.0,3.321283355938432
wine,17,2.0,5.394778634235041
wine,17,3.0,4.0492465036016885
wine,17,4.0,2.806290439849149
wine,17,5.0,2.806290439849149
wine,17,6.0,8.944162552814689
wine,17,7.0,6.468820184012332
wine,17,8.0,4.46138326881831
wine,17,9.0,2.806290439849149
wine,17,0.0,8.27314455703101
wine,17,1.0,2.9955613930307816
wine,17,2.0,2.9955613930307816
wine,17,3.0,2.9955613930307816
wine,17,4.0,2.9955613930307816
wine,17,5.0,2.9955613930307816
wine,17,6.0,2.9955613930307816
wine,17,7.0,13.971892693239328
wine,17,8.0,11.433458670484853
wine,17,9.0,2.9955613930307816
wine,17,0.0,5.552297131194277
wine,17,1.0,5.552297131194277
wine,17,2.0,5.552297131194277
wine,17,3.0,2.527549433020319
wine,17,4.0,2.527549433020319
wine,17,5.0,11.716790606832443
wine,17,6.0,5.857329502756476
wine,17,7.0,5.857329502756476
wine,17,8.0,2.573870069402817
wine,17,9.0,2.527549433020319
